ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
212,300000,2,2,1,64,1,1,1,0,1,1,171492,137163,178295,150043,143770,161673,3825,46834,10539,10343,25873,53721,1
213,300000,1,1,2,50,0,-1,0,0,1,0,128877,131778,133769,142939,153068,162557,28520,6079,20131,31905,44593,28352,0
214,120000,1,2,1,48,0,-1,-1,1,0,0,60930,55484,63606,74483,69518,65762,6077,8220,16685,14096,6405,18638,0
215,300000,2,1,1,36,0,-1,0,0,0,0,52094,47377,45993,51730,50448,44729,3180,11379,10717,14408,3642,2381,0
216,50000,2,3,1,40,-1,-1,-1,-1,-1,-1,11012,10463,7814,8891,10163,10344,1159,2193,758,1035,206,1976,0
217,20000,2,3,2,51,0,1,0,0,0,0,11837,9887,10544,12006,11067,9902,3470,2324,1356,1132,2436,3193,0
218,20000,1,2,1,38,1,1,0,0,0,0,5346,6899,6316,6674,4987,6418,1719,1192,1365,1544,635,1904,0
219,120000,2,2,1,34,-1,-1,-1,0,-1,-1,74199,86068,62472,86221,67524,81983,25031,9305,1979,21671,16283,19376,0
220,500000,1,2,1,59,0,-1,0,0,-1,0,180022,193997,212371,207320,188106,225786,21590,34785,57385,32426,46602,15632,0
221,20000,1,2,3,40,0,1,-1,0,0,0,5476,4239,4203,4129,5331,5925,933,618,466,685,185,474,0
222,120000,1,3,1,51,0,-1,-1,-1,-1,-1,90140,73936,88195,86117,90543,95359,25674,18784,25872,5233,14312,23263,0
223,200000,1,3,2,22,-1,0,-1,0,0,0,72470,73258,94783,88376,100137,71935,9052,5614,23279,15457,33989,9167,0
224,50000,2,2,1,24,-1,-1,-1,-1,-1,-1,11328,11566,11096,10208,10162,11008,1666,2125,2585,3442,1125,1416,1
225,300000,1,2,1,60,1,-1,1,-1,1,0,243000,278019,263776,225089,269248,263977,23887,93550,72071,12947,52436,79118,0
226,80000,2,1,1,27,-1,0,0,-1,0,-1,41081,30548,37650,30835,38530,34845,8581,5971,1686,6396,7608,932,0
227,300000,2,1,1,58,-1,1,0,-1,0,0,227609,278844,256002,242888,269616,324258,54070,27404,27082,6331,28574,48486,0
228,200000,1,1,1,63,0,0,0,0,0,0,43415,41692,44593,40760,47996,52602,5430,13709,8569,5191,13302,5187,0
229,120000,2,2,2,43,0,0,0,1,-1,-1,85804,86542,88882,92568,102238,118152,2402,8703,24572,25102,2169,3419,0
230,50000,1,4,2,62,-1,0,1,0,1,0,45075,38506,44887,37217,40684,34115,11847,10315,13474,7709,3858,3120,0
231,120000,2,2,1,41,2,1,2,2,2,2,14350,14682,13972,14275,20088,15023,3206,824,2041,667,4329,1213,0
232,300000,2,1,2,65,0,0,-1,1,0,1,155868,148165,160877,151271,170904,194533,14381,44625,45351,25580,55151,36275,1
233,20000,2,1,2,32,1,1,1,0,1,1,14975,12524,13491,16138,11307,16054,1854,996,1250,743,261,2626,0
234,300000,2,2,1,41,0,1,1,-1,0,0,171750,150503,165572,156906,157680,142281,57681,22587,7815,22479,34419,24993,0
235,120000,1,3,1,39,1,-1,0,1,1,-1,53149,49690,47168,47193,59449,45844,12116,16827,4781,12919,1255,14198,0
236,300000,2,2,1,57,-1,-1,-1,0,-1,0,307828,287967,279122,310853,239958,298263,66647,60818,88771,32708,54117,54630,0
237,200000,1,3,1,23,0,0,0,0,0,0,152348,136187,148678,141903,170733,119304,35207,14588,29666,24069,26604,27543,0
238,120000,1,3,2,59,0,0,0,0,0,0,123408,116730,136580,94824,139592,121261,41337,2358,24426,17553,22805,28334,1
239,80000,1,1,3,22,0,1,1,2,2,1,64530,66403,73382,69961,70327,81531,8527,1476,19468,21098,23860,15537,1
240,200000,2,2,3,35,0,1,0,0,0,0,134708,196895,149737,153034,154918,152561,15181,21779,3493,9196,37976,18395,0
241,20000,2,4,3,49,0,0,1,0,0,0,14498,12276,16905,15266,11926,16284,2092,2379,998,3078,1011,5179,0
242,200000,2,2,1,27,-1,-1,-1,-1,-1,-1,108916,137696,109428,115719,107321,134446,30966,24787,5785,3490,37468,22129,0
243,20000,2,1,1,44,-1,-1,-1,-1,-1,-1,17723,15747,16312,17821,17143,16420,1061,5105,981,905,1794,3423,0
244,200000,1,4,1,67,2,1,1,2,1,2,125009,120512,106951,111288,141192,122391,11032,32797,18143,10331,34782,25031,0
245,200000,2,3,1,59,-1,-1,-1,0,-1,0,20256,23675,22750,21372,27355,23717,1930,7698,2562,5503,6688,6951,0
246,20000,2,2,1,22,-1,-1,-1,-1,0,0,13463,13345,12751,12994,10419,13354,3096,2520,3561,436,3129,2623,0
247,300000,2,2,1,48,2,2,2,2,3,2,46316,51000,43349,38154,42608,43517,10732,8537,12869,12662,6460,7431,0
248,80000,1,1,2,49,3,3,4,3,3,3,78420,76400,86132,74057,76649,89621,11192,15800,28012,11932,19136,15398,1
249,300000,2,3,1,24,0,0,0,0,-1,0,233897,180423,205245,165727,190282,169229,25996,25765,17384,49180,43110,46941,1
250,20000,1,2,1,51,0,1,-1,0,0,-1,10586,12920,10333,12437,11756,13689,2848,1157,1921,1159,1928,1764,1
251,50000,1,1,2,45,2,1,1,0,1,1,10593,10403,11878,11890,13698,11944,322,3080,428,1563,4414,3923,1
252,120000,2,2,1,53,-1,-1,-1,-1,-1,-1,56613,65024,70926,72957,63227,62016,14933,15903,7033,18962,6521,18566,0
253,50000,1,4,2,34,1,0,0,0,1,1,19003,21261,18693,18933,15966,15505,1698,2710,4168,2747,1500,1017,0
254,80000,1,3,1,33,1,0,-1,-1,-1,0,48963,53368,54216,66477,59178,50981,15566,8927,8641,12462,13494,6356,0
255,200000,2,2,2,55,2,3,2,1,2,1,143558,127950,126554,112145,101649,121993,22469,12078,31376,32191,8415,38898,0
256,50000,1,1,1,54,3,2,2,3,3,1,24164,22227,26720,28755,30831,30800,5605,4572,7934,6753,9061,3445,1
257,200000,2,4,2,28,-1,0,1,0,1,0,57194,47207,53052,55848,67502,63290,3427,6526,2103,16522,8916,7900,0
258,20000,1,4,1,31,-1,0,-1,-1,-1,-1,11125,13134,12553,10450,9201,9056,1154,4057,4139,507,1462,830,1
259,50000,2,2,1,48,0,0,1,0,0,0,22528,21271,21552,26667,24903,22726,5659,4134,732,5884,6105,862,0
260,200000,2,2,2,59,0,0,1,0,0,-1,189080,161263,140361,204073,193152,172027,38121,25136,48277,44569,60279,30601,0
261,300000,2,2,1,30,2,3,2,2,2,2,292213,271873,297577,299106,267520,309365,80141,72691,68567,65905,66261,83250,1
262,50000,2,2,1,31,0,-1,-1,-1,-1,0,42766,36781,44028,36094,38397,43008,8806,11721,1509,7735,1961,10227,0
263,80000,2,1,2,58,-1,-1,-1,-1,-1,-1,29303,23584,29717,28223,33399,24920,6091,6833,4454,7305,4393,725,0
264,500000,2,1,1,53,0,1,1,0,0,0,39565,35331,39706,35656,35871,32975,11997,6476,4177,10644,9596,6354,0
265,500000,1,1,2,63,0,-1,0,0,0,-1,457646,465968,555997,489662,472109,398492,73290,64129,157641,46893,150866,51403,0
266,200000,1,3,2,57,0,1,1,0,1,0,217010,194823,189388,191930,168954,199975,68437,46465,17878,10461,38717,46352,1
267,120000,2,1,1,65,-1,-1,-1,-1,-1,-1,18941,22297,19171,17754,18346,16652,2705,6456,5610,788,3976,2559,0
268,80000,2,1,2,29,1,2,1,0,1,0,54879,52054,58344,45508,64193,50657,7048,17851,7180,3289,9317,17404,0
269,200000,1,2,1,33,0,0,-1,-1,-1,-1,78403,106546,88069,106002,98434,102235,21734,18207,30508,25065,17497,29994,0
270,200000,2,1,2,32,-1,0,-1,-1,-1,-1,40023,34096,38166,31049,39013,35875,952,8200,4169,4888,6344,9009,1
271,80000,2,1,1,23,-1,-1,-1,1,1,0,66755,74931,95349,74867,67943,96300,5128,8746,23459,10131,2595,18313,1
272,20000,2,2,1,57,-1,0,0,-1,0,0,22536,22225,16861,16506,21482,20768,984,1085,4789,5286,584,4466,0
273,50000,2,2,1,52,-1,1,0,0,0,-1,42425,56213,42520,49359,45480,44823,8018,5818,3887,15649,10175,7436,1
274,500000,2,2,2,25,0,-1,-1,-1,-1,-1,86859,84453,88338,80005,92400,73175,19739,2092,3975,15827,17394,20652,0
275,80000,2,3,2,30,-1,-1,-1,-1,0,-1,37038,39645,41444,45287,36966,41828,867,7457,8368,7757,3726,13373,0
276,120000,1,1,3,29,1,0,1,1,1,2,99608,123595,117982,96745,109613,117663,7299,17691,28721,10568,34485,41146,0
277,120000,2,3,2,39,-1,0,0,0,-1,-1,77319,69450,98384,72758,85299,82221,9265,16934,28501,12497,7521,17892,0
278,300000,1,3,2,42,1,-1,0,0,1,0,150722,127231,149077,122918,129770,161155,17648,28379,16400,19126,32593,39486,0
279,20000,2,3,2,34,1,1,1,1,0,2,9422,10957,12930,9945,10846,11981,490,826,3980,221,3038,1820,1
280,20000,1,2,2,64,-1,0,-1,-1,-1,0,1465,1830,1453,1709,1557,1631,112,443,468,461,462,37,0
281,50000,2,2,2,31,1,2,1,0,1,1,26573,32433,27935,27944,34114,25532,7959,2654,7741,4603,10133,6435,0
282,120000,2,2,1,47,0,1,0,1,1,-1,97498,104119,96456,112779,106382,97782,24490,2286,2170,10549,30008,32095,1
283,200000,2,2,2,41,0,0,0,1,0,1,10927,11004,10354,9028,10692,9266,1286,3743,505,2165,1829,2813,0
284,120000,2,1,2,39,-1,-1,-1,-1,-1,-1,22588,20085,20750,20850,19451,21355,2415,580,7247,3497,4393,6618,0
285,120000,1,4,1,59,1,1,2,1,2,1,72297,72368,57169,58310,52755,73867,3359,9608,14989,7203,15987,11279,1
286,500000,2,2,1,66,1,-1,1,0,0,-1,287368,248300,281535,295029,255481,283022,38834,57203,63863,28372,40543,72304,0
287,50000,1,3,1,21,0,1,0,0,0,1,18334,20453,17345,17802,15856,16494,2775,2908,5506,703,3827,3804,0
288,200000,1,2,2,42,4,3,2,3,3,2,15958,14370,14955,14204,14273,15704,5080,2095,494,2641,1036,3117,0
289,120000,2,1,1,26,0,0,-1,1,-1,0,73886,82556,105359,102530,80204,95083,19596,21340,28440,14753,16549,6659,0
290,120000,1,2,2,41,2,1,1,2,2,2,38169,33885,28493,27256,26860,29271,6798,7411,6725,907,1787,6143,0
291,300000,1,2,2,50,0,0,1,0,0,0,198067,229485,202973,190767,181921,201856,12775,43846,60874,54958,43278,23927,0
292,50000,2,2,2,40,2,3,2,2,3,1,27363,28772,24306,28112,29203,31360,6472,8990,6725,8060,4215,7908,1
293,500000,2,2,1,35,1,2,2,2,2,2,266517,183975,203680,206378,248860,224487,87653,10243,36667,37500,23688,74485,0
294,80000,2,1,2,35,3,2,4,3,3,3,45816,40270,45214,47814,47746,45082,2096,7048,1963,14192,6638,11727,1
295,120000,1,2,2,35,-1,-1,-1,-1,-1,0,101869,90064,88233,87806,101356,92015,30564,8906,28243,15693,25487,9720,0
296,120000,1,2,1,36,1,1,1,1,1,1,83796,76421,72910,73768,62767,76688,6656,2456,19828,5587,20063,13307,0
297,300000,1,4,1,38,1,0,1,2,0,0,157947,167269,184074,185938,175089,140467,39711,57386,25330,35478,4153,28993,0
298,120000,2,1,1,53,1,1,0,-1,0,0,52070,49894,62711,46201,50126,49702,4200,13083,21616,5689,3778,12904,0
299,50000,2,2,1,25,0,0,1,0,-1,-1,25740,24859,20020,22516,25689,24222,5611,2270,2455,3811,6496,1666,0
300,20000,1,2,2,22,3,2,4,2,3,4,9068,9517,11331,11390,9036,9186,892,1454,1612,3876,1876,1776,1
301,80000,2,2,3,45,-1,-1,-1,-1,-1,-1,41864,31782,40869,37621,45383,45399,8320,3006,13962,5166,5687,13794,0
302,300000,1,2,2,53,0,0,0,0,0,0,119141,134835,116375,148649,152014,121024,25978,33169,27985,13563,35735,3522,0
303,20000,1,2,2,33,0,0,0,1,-1,0,4344,5001,4618,5102,5036,5413,973,678,1432,318,1541,1407,0
304,500000,1,4,2,30,-1,-1,-1,-1,-1,-1,370778,439747,300669,365471,375499,444595,90960,142282,94097,113915,39477,138066,0
305,120000,1,2,2,50,1,0,1,1,1,1,22632,21366,17228,17135,19472,19341,968,1890,3394,427,3510,5465,0
306,20000,2,2,2,39,-1,-1,-1,-1,-1,-1,20126,16224,16779,19346,14848,19125,5074,2197,1813,6180,398,6263,0
307,80000,2,1,1,55,0,1,0,0,-1,0,53861,58471,46309,52325,60183,43472,3825,19149,13876,2113,19991,12098,1
308,120000,1,2,3,27,1,2,1,2,1,2,9904,9989,12642,8743,12183,11429,2410,3116,2346,2346,3466,2182,1
309,80000,2,2,1,26,1,0,0,0,0,0,52406,64207,62786,47882,46320,64820,3193,7495,12948,5597,8647,11498,0
310,20000,2,1,2,46,-1,0,1,0,1,0,7038,7286,8078,6459,6649,9315,1254,1307,1604,661,2309,284,0
311,200000,2,2,3,39,-1,-1,-1,0,-1,-1,170985,218481,205378,193003,173319,181104,25243,68083,4757,15320,16061,4733,0
312,200000,2,2,2,55,1,1,1,1,1,2,175584,217585,226703,152300,208832,213176,59562,52505,7965,9806,55447,49248,0
313,20000,1,3,1,44,2,2,2,2,2,2,17837,19657,16542,19509,17180,19400,4069,4527,3695,816,4706,2151,0
314,50000,2,2,2,37,-1,-1,-1,-1,-1,-1,26063,24077,29779,34797,31335,27475,1279,5729,8402,2476,9218,3333,0
315,50000,1,2,1,28,0,-1,-1,0,0,0,37928,52919,49229,55254,37253,52416,9531,17141,8409,11835,9167,15008,0
316,200000,2,2,2,28,0,1,-1,0,1,0,144141,145685,156352,119200,156521,115764,12117,27777,12951,24792,12974,6566,1
317,300000,1,1,1,56,0,1,0,1,0,0,214973,248199,297399,265301,230271,316736,24599,19852,45855,29913,11545,36001,1
318,300000,2,1,2,31,0,0,0,0,1,-1,70514,59105,49001,68625,55041,67984,10216,10402,13404,16769,4376,16728,0
319,500000,1,2,2,44,1,0,0,0,0,0,429643,482588,495940,491257,538753,458948,118647,125730,27695,134593,163374,13808,0
320,300000,1,4,1,59,0,-1,0,1,0,-1,163864,240380,183901,187724,223178,194794,54328,43846,37674,64475,34069,37308,0
321,80000,2,1,1,63,0,0,1,0,1,0,30982,29860,24219,30439,26970,31641,10070,3684,6096,5026,5400,1525,0
322,20000,2,2,2,33,0,0,-1,0,1,0,20884,19508,20462,20676,22998,16637,1593,4679,3217,2969,652,4514,1
323,200000,2,3,1,26,2,1,2,1,2,2,158872,149175,152044,153944,116234,140884,6344,25147,33208,52517,21174,32320,1
324,500000,2,3,1,57,-1,-1,-1,-1,0,-1,447119,401369,396477,545243,381249,456653,131191,135554,123521,180426,59116,100839,0
325,500000,2,2,1,53,1,0,0,0,-1,1,23130,23815,22740,29451,21174,23397,2662,3243,2051,9597,4158,2176,0
326,50000,1,2,1,36,-1,-1,-1,-1,-1,-1,30554,32120,31255,28824,26059,24311,6487,8247,2018,6367,3748,6300,0
327,50000,2,2,2,48,1,1,1,1,1,1,35106,38033,31400,31467,39528,32850,12039,7727,1258,7043,1774,3927,0
328,20000,2,3,2,29,-1,-1,0,-1,0,-1,1165,1268,1298,1193,1154,1359,94,57,337,389,39,283,0
329,20000,2,1,1,53,0,-1,0,0,0,0,14171,15615,15280,16449,15094,17470,2036,2732,4846,2933,5032,879,1
330,120000,1,4,2,55,0,0,0,0,-1,0,75103,76633,83260,82815,89590,91383,23004,2270,20634,7490,19643,4725,0
331,120000,1,1,1,35,1,0,0,0,0,1,30803,40572,30777,35831,34279,37125,7223,11386,10532,12366,7963,3119,1
332,80000,2,3,1,43,2,1,1,2,1,2,62913,47359,66829,58393,47172,60209,20723,12426,16952,17394,15193,5495,0
333,80000,2,1,2,36,-1,0,0,0,0,-1,12758,16179,15792,13764,13018,13606,2914,593,1819,529,2626,839,0
334,300000,2,1,1,22,0,0,0,0,1,0,298768,296094,219941,295724,277820,268877,35905,54747,22949,16889,61990,15869,0
335,120000,2,1,2,26,1,1,1,0,1,1,95180,121319,112168,119518,104207,120608,27191,40921,26920,37181,20070,37398,0
336,300000,2,2,2,66,0,1,-1,0,0,-1,151776,176871,171281,146787,182566,137521,41064,20151,41624,17520,14253,27920,0
337,500000,2,2,2,42,0,0,0,-1,0,0,245383,267258,225846,273624,303985,314071,80508,85100,43556,68353,37328,70765,0
338,80000,2,1,2,27,0,0,0,0,0,0,37131,34429,35525,35368,38468,40159,6577,2405,6887,2082,11995,4617,1
339,50000,2,2,1,23,-1,-1,-1,-1,-1,0,21126,21214,21443,18887,20861,18199,3928,470,3377,1440,3472,697,0
340,500000,2,2,1,37,0,0,0,0,0,0,439661,403640,443144,363830,456298,526249,55776,78738,60034,97008,39866,178677,0
341,200000,1,3,1,67,3,1,2,2,1,2,63848,76877,78869,73172,78259,77756,6939,7607,18079,25110,22949,2941,1
342,80000,2,3,2,39,2,1,2,3,2,3,37898,30389,28275,37712,35760,28168,13220,9424,7540,7004,1745,8210,0
343,200000,1,2,2,67,1,3,2,1,2,2,58278,76565,77632,66063,63094,54307,19959,18558,22390,2256,14577,13005,0
344,120000,1,1,1,44,0,0,0,1,0,-1,84327,82433,96581,94127,71235,87824,16425,20334,11742,9160,17882,13567,0
345,500000,2,2,1,56,-1,0,0,0,0,0,452379,470514,356780,493800,465530,460661,151627,113950,108122,44536,55976,122709,0
346,50000,1,3,1,57,0,0,1,0,-1,1,9164,10068,9817,11359,9575,9081,1260,2457,1177,3733,718,2473,0
347,500000,1,1,2,22,2,2,2,1,2,2,153467,150735,151448,169195,161280,144396,46116,40178,18266,26786,27084,44739,1
348,500000,2,2,2,21,1,2,0,0,1,1,78749,84264,83298,71617,85882,73106,18073,20312,23821,23829,23116,14608,1
349,50000,2,4,2,64,0,0,0,1,1,0,8381,9572,8548,11536,9495,9680,2150,2826,2905,3503,2968,876,1
350,50000,1,4,2,64,0,-1,0,0,0,0,20235,19333,20323,25556,20381,18016,5200,3947,6658,4312,5891,3764,1
351,120000,1,2,1,27,1,1,1,2,1,0,91308,79343,106168,99552,82345,84197,20984,10768,6015,2807,4623,4443,0
352,20000,1,2,2,51,3,2,2,2,2,2,12548,11707,10894,9722,11189,12722,3780,2037,1254,3315,1046,1833,1
353,80000,2,2,2,64,1,1,1,1,1,2,7807,7940,7921,6544,8070,6304,1166,1312,2144,152,1804,1395,0
354,120000,2,3,1,65,0,0,0,0,0,0,75884,81186,79306,76589,71647,81231,22782,10532,22686,23169,18217,8376,1
355,500000,1,1,2,34,0,0,1,0,0,-1,375284,329707,481196,442742,402295,426328,30220,51798,89698,69230,9205,130233,0
356,500000,2,1,1,59,0,0,0,0,0,0,169328,171301,180943,211349,214363,249801,14559,25189,4580,25241,14372,85456,0
357,50000,1,2,2,51,0,1,0,1,1,-1,11296,16189,16486,15655,12721,16704,2899,917,3059,2422,649,752,0
358,500000,1,1,2,64,2,2,2,2,2,2,349079,419980,399515,431555,315279,458861,93393,123508,12096,59459,41795,40354,1
359,20000,2,2,2,27,1,0,0,1,0,0,1130,1128,1551,1176,1183,1357,359,304,175,290,289,238,0
360,300000,1,2,2,49,0,-1,0,1,1,0,210794,206324,210630,212105,278775,203056,23323,27108,49869,44329,92345,6603,0
361,300000,1,3,1,22,0,0,0,-1,0,1,255438,212168,259242,265555,223573,223498,9835,70417,16700,27824,11076,11323,1
362,500000,2,3,2,37,-1,0,0,0,1,0,468167,504367,510331,416942,361858,444815,87765,168100,130196,80918,67671,141100,1
363,50000,2,2,2,21,-1,0,0,-1,0,0,5311,7073,7238,7614,6298,5296,1640,2141,1628,1169,900,185,1
364,500000,2,3,2,41,-1,-1,-1,-1,-1,0,76504,77823,59280,84602,79115,60081,26056,2310,9591,27395,11981,6108,0
365,20000,2,2,2,59,2,2,2,3,1,2,15171,18670,17337,17330,19460,16431,4598,2660,2475,5450,826,2625,0
366,120000,1,2,1,51,0,0,0,1,-1,1,57189,68776,50889,62079,58071,57432,10390,11755,16378,13888,6686,1536,0
367,120000,1,1,2,35,-1,0,-1,1,0,0,60469,47196,43543,57585,52018,52200,18437,12137,8819,19496,5374,15007,0
368,80000,2,3,2,41,-1,-1,-1,-1,0,-1,48062,44255,51574,54720,52322,55892,4354,10155,16160,7868,13448,16426,0
369,20000,1,3,1,38,0,0,0,0,-1,0,1629,1942,2368,2048,2314,1915,527,473,369,100,536,287,1
370,300000,2,3,2,55,0,0,1,0,1,0,186871,237975,209672,236561,210133,163026,38693,65010,45337,8451,48326,14116,0
371,80000,2,3,3,33,1,3,2,3,2,3,81485,77946,64140,76911,82094,77493,12099,25954,21488,22691,15709,24369,1
372,200000,1,4,2,25,-1,-1,-1,-1,-1,-1,123532,141430,124610,113343,116540,130938,26181,28568,7594,16610,15486,31938,1
373,80000,2,1,2,44,3,3,3,2,4,4,46564,44132,37366,40253,38019,45569,12978,14048,3987,12232,3819,8789,1
374,80000,1,4,1,60,-1,1,0,-1,1,0,75172,67509,65875,86073,89543,75364,7460,19502,21245,14751,2124,11266,0
375,500000,2,2,3,43,0,0,1,0,0,0,285558,339857,402387,421739,305286,328045,15311,44696,64084,9989,21008,64940,0
376,20000,2,2,1,30,-1,-1,-1,-1,-1,-1,2003,2082,1730,1660,1821,2148,524,600,189,322,168,219,0
377,300000,2,2,2,23,0,1,0,-1,-1,1,221161,246930,175986,201686,221307,206043,73937,14500,61440,43604,75672,34691,0
378,300000,2,2,2,65,2,1,2,3,2,1,29827,26165,33103,31414,35245,31031,6866,1894,1778,5308,11992,7644,1
379,80000,2,2,2,56,1,0,0,0,0,0,31807,26635,23103,31300,22366,23377,2132,9255,5124,9282,6113,3640,0
380,50000,2,1,2,28,1,-1,0,0,0,1,36932,36979,30675,34564,36532,30228,8579,5970,8590,8036,8088,7437,1
381,20000,2,1,2,24,0,0,-1,0,0,0,4299,5478,5056,4485,4463,4113,251,942,1413,629,1074,1084,0
382,500000,2,2,2,27,1,2,3,2,2,2,33490,42085,33494,46040,46063,44357,4024,14049,5553,11844,10050,11919,1
383,500000,1,3,1,38,0,0,0,0,0,1,295295,288246,326389,340240,368972,286774,8985,40183,11262,42690,86137,59599,0
384,50000,2,2,2,59,1,2,2,1,1,2,16634,13949,15817,18464,17701,13524,3008,1369,4706,5478,1634,1093,0
385,20000,2,2,2,28,-1,-1,0,-1,-1,-1,11587,10574,11884,12623,13022,11533,1460,483,3385,1419,4457,2896,1
386,20000,1,2,1,59,2,2,2,2,2,2,5362,5323,5239,5026,6990,6089,279,1024,515,1206,1885,1768,0
387,20000,2,2,2,21,0,1,0,0,1,0,16630,15827,13280,16683,16484,13050,2028,1359,1757,2618,1603,667,0
388,300000,2,1,2,55,-1,-1,0,-1,0,-1,250815,295750,289113,266790,273185,322017,58614,12239,54687,14244,51769,101650,0
389,500000,1,3,2,34,3,3,3,3,3,3,71265,72052,51732,75797,62611,66978,8223,20773,2983,17266,17558,22144,0
390,50000,2,1,2,66,-1,-1,-1,-1,-1,-1,45344,34762,33877,35017,33707,46856,3047,4464,9850,5126,10809,11269,0
391,300000,1,3,1,43,-1,-1,-1,-1,0,-1,48849,53773,53158,65025,51588,53555,9759,11356,17238,14910,7566,3033,0
392,50000,2,3,2,33,1,1,0,0,1,0,16110,19978,15199,16632,19139,18414,4326,1089,1849,3295,3437,4340,0
393,80000,2,2,1,32,-1,0,1,0,1,1,27483,26842,25303,25369,26393,29944,8078,5015,8221,855,3226,4117,0
394,200000,2,3,1,59,-1,-1,-1,-1,-1,-1,56599,41594,57913,58042,57040,46783,9949,9504,16463,5086,8229,5623,0
395,300000,1,2,2,39,0,0,0,-1,-1,0,32773,33218,34232,32110,31044,28544,8345,5595,8906,8064,2953,917,0
396,500000,1,3,1,37,1,1,2,1,1,2,444428,342578,396986,325983,327144,347780,131105,45004,134904,56827,9772,90142,1
397,20000,2,3,1,55,1,1,1,1,1,2,16010,13431,14568,18481,14441,18538,3875,1646,1852,3214,2272,3837,1
398,50000,2,3,2,46,-1,0,-1,-1,-1,-1,49301,46403,40282,48796,41109,57179,9564,2603,12977,1014,7206,9649,0
399,50000,2,2,1,52,1,0,-1,-1,0,1,54776,54251,51895,48607,40865,39715,2178,3156,2723,5829,11334,5888,0
400,80000,2,3,1,41,1,1,0,1,1,1,36093,30409,40276,44136,38264,29842,4176,5582,7158,10633,7364,4652,0
401,500000,1,4,1,24,-1,-1,-1,-1,-1,-1,94497,88343,102336,85403,78809,72367,11863,5814,20688,26706,10064,12267,0
402,300000,2,2,2,21,-1,-1,-1,-1,-1,-1,15724,16623,13108,13406,18167,17114,2364,1558,793,2807,3140,3038,0
403,80000,1,3,1,22,0,-1,-1,-1,-1,-1,37351,44974,37976,47824,42733,39803,12467,3345,10000,9488,12081,2079,0
404,500000,1,3,2,47,0,0,0,0,0,0,358078,436983,473021,472753,473339,481826,31843,124461,83634,82828,84592,70108,0
405,120000,2,2,2,45,0,-1,-1,0,-1,-1,31969,29203,33732,31765,39208,29038,6352,4917,5745,7747,7967,1194,0
406,120000,1,4,1,56,1,1,0,1,2,2,30737,23117,23302,28740,24115,30664,10668,4677,4937,8144,1859,8465,0
407,120000,1,2,2,63,3,3,3,3,3,3,53121,56199,51494,53022,46025,64596,11909,11935,3319,4921,1036,12424,1
408,50000,1,2,1,29,0,-1,-1,-1,-1,-1,44359,53653,37736,37053,51370,36960,3945,8091,3245,9471,16787,10490,0
409,500000,2,1,2,65,0,0,0,0,0,0,201143,230436,271550,221213,258463,274401,67757,27302,21622,22225,28024,44363,1
410,20000,2,1,1,64,-1,-1,0,-1,-1,-1,15514,14623,17016,17209,12864,17258,2031,2137,5685,524,1732,1217,0
411,50000,1,3,2,49,0,-1,-1,-1,-1,0,27413,29160,25785,22493,26206,24797,981,5729,7094,1004,1517,2947,0
412,50000,2,2,1,45,0,1,1,1,0,1,21140,22384,19214,17905,18762,18400,3432,3096,3739,633,3551,1788,1
413,50000,2,2,2,29,0,0,0,1,1,0,27943,25935,25922,27534,19256,23994,2777,1687,6159,3096,5068,3963,0
414,20000,1,1,1,29,3,3,2,3,1,2,12635,15696,16491,14929,13966,14479,3666,5046,3867,925,3441,4059,1
415,20000,1,2,2,21,1,1,1,0,1,0,12414,17848,17195,18110,16972,18065,1149,4670,1832,871,5131,1056,1
416,200000,2,3,1,51,0,-1,0,0,-1,-1,91863,94846,92264,105835,87848,93466,26690,3971,4482,7271,10064,14209,0
417,500000,2,3,1,41,1,0,0,1,-1,0,136588,160109,178288,148885,153369,168667,4362,51055,36215,4854,18993,8482,0
418,20000,2,1,1,30,-1,-1,-1,-1,-1,0,3818,3961,3254,3389,3036,3709,1247,302,347,451,1028,553,0
419,80000,2,2,2,27,3,2,2,2,2,2,4028,3470,3755,3082,3018,3300,136,181,1157,898,515,700,0
420,120000,1,2,2,23,0,1,-1,-1,1,-1,15416,21654,20590,16062,16419,18332,5082,1670,2015,3256,4850,783,1
421,500000,1,2,3,51,0,-1,0,0,0,0,117995,120853,117045,90293,100004,116480,5229,39627,24467,3741,22180,4891,0
422,200000,2,2,2,53,0,-1,0,0,0,0,114944,146497,166860,139884,161211,134930,35397,13628,26469,20104,12846,35225,1
423,300000,1,2,3,50,0,0,0,0,0,0,268085,221581,238828,236545,275563,233475,78908,61977,63327,38283,92576,36065,0
424,200000,2,2,1,26,1,1,1,0,2,0,143653,167173,162621,168708,130132,178109,31052,38818,54274,12972,16535,24215,0
425,80000,2,2,2,22,0,-1,-1,-1,-1,-1,63153,54977,54221,54375,49043,55260,2013,10501,8448,7780,11367,13620,0
426,50000,2,2,2,25,-1,-1,-1,-1,-1,-1,41985,51582,53029,48528,44545,57234,9445,7254,1836,6363,4632,2745,0
